Voice slot map: {'katie': 3000, 'joe': 3001}
Training 770 samples across voices: ['joe', 'katie']
Epoch 0 | Step 0 | Loss: 14.5553 | voices cached: ['katie', 'joe']
Epoch 0 | Step 10 | Loss: 14.0822 | voices cached: ['katie', 'joe']
Epoch 0 | Step 20 | Loss: 14.1182 | voices cached: ['katie', 'joe']
Epoch 0 | Step 30 | Loss: 14.1502 | voices cached: ['katie', 'joe']
Epoch 0 | Step 40 | Loss: 15.2600 | voices cached: ['katie', 'joe']
Epoch 0 | Step 50 | Loss: 13.9416 | voices cached: ['katie', 'joe']
Epoch 0 | Step 60 | Loss: 14.7238 | voices cached: ['katie', 'joe']
Epoch 0 | Step 70 | Loss: 13.1753 | voices cached: ['katie', 'joe']
Epoch 0 | Step 80 | Loss: 13.0202 | voices cached: ['katie', 'joe']
Epoch 0 | Step 90 | Loss: 13.4061 | voices cached: ['katie', 'joe']
Epoch 0 | Step 100 | Loss: 13.2443 | voices cached: ['katie', 'joe']
Epoch 0 | Step 110 | Loss: 12.4231 | voices cached: ['katie', 'joe']
Epoch 0 | Step 120 | Loss: 14.4313 | voices cached: ['katie', 'joe']
Epoch 0 | Step 130 | Loss: 13.5378 | voices cached: ['katie', 'joe']
Epoch 0 | Step 140 | Loss: 12.7591 | voices cached: ['katie', 'joe']
Epoch 0 | Step 150 | Loss: 13.1874 | voices cached: ['katie', 'joe']
Epoch 0 | Step 160 | Loss: 13.6227 | voices cached: ['katie', 'joe']
Epoch 0 | Step 170 | Loss: 14.0825 | voices cached: ['katie', 'joe']
Epoch 0 | Step 180 | Loss: 13.2660 | voices cached: ['katie', 'joe']
Epoch 0 | Step 190 | Loss: 14.7365 | voices cached: ['katie', 'joe']
Epoch 0 | Step 200 | Loss: 14.7353 | voices cached: ['katie', 'joe']
Epoch 0 | Step 210 | Loss: 13.8687 | voices cached: ['katie', 'joe']
Epoch 0 | Step 220 | Loss: 13.5052 | voices cached: ['katie', 'joe']
Epoch 0 | Step 230 | Loss: 14.7448 | voices cached: ['katie', 'joe']
Epoch 0 | Step 240 | Loss: 14.1562 | voices cached: ['katie', 'joe']
Epoch 0 | Step 250 | Loss: 12.6468 | voices cached: ['katie', 'joe']
Epoch 0 | Step 260 | Loss: 14.9106 | voices cached: ['katie', 'joe']
Epoch 0 | Step 270 | Loss: 13.3135 | voices cached: ['katie', 'joe']
Epoch 0 | Step 280 | Loss: 13.5155 | voices cached: ['katie', 'joe']
Epoch 0 | Step 290 | Loss: 15.1478 | voices cached: ['katie', 'joe']
Epoch 0 | Step 300 | Loss: 13.7313 | voices cached: ['katie', 'joe']
Epoch 0 | Step 310 | Loss: 15.2985 | voices cached: ['katie', 'joe']
Epoch 0 | Step 320 | Loss: 13.8632 | voices cached: ['katie', 'joe']
Epoch 0 | Step 330 | Loss: 13.9447 | voices cached: ['katie', 'joe']
Epoch 0 | Step 340 | Loss: 15.6190 | voices cached: ['katie', 'joe']
Epoch 0 | Step 350 | Loss: 15.0571 | voices cached: ['katie', 'joe']
Epoch 0 | Step 360 | Loss: 14.6269 | voices cached: ['katie', 'joe']
Epoch 0 | Step 370 | Loss: 14.3485 | voices cached: ['katie', 'joe']
Epoch 0 | Step 380 | Loss: 14.0178 | voices cached: ['katie', 'joe']
  wrote voice 'katie' → slot 3000
  wrote voice 'joe' → slot 3001
Saved epoch 0 checkpoint → /workspace/output/checkpoint-epoch-0
Epoch 1 | Step 0 | Loss: 12.8778 | voices cached: ['katie', 'joe']
Epoch 1 | Step 10 | Loss: 13.2541 | voices cached: ['katie', 'joe']
Epoch 1 | Step 20 | Loss: 12.6694 | voices cached: ['katie', 'joe']
Epoch 1 | Step 30 | Loss: 14.2767 | voices cached: ['katie', 'joe']
Epoch 1 | Step 40 | Loss: 14.6136 | voices cached: ['katie', 'joe']
Epoch 1 | Step 50 | Loss: 12.6668 | voices cached: ['katie', 'joe']
Epoch 1 | Step 60 | Loss: 14.2726 | voices cached: ['katie', 'joe']
Epoch 1 | Step 70 | Loss: 13.7295 | voices cached: ['katie', 'joe']
Epoch 1 | Step 80 | Loss: 13.9240 | voices cached: ['katie', 'joe']
Epoch 1 | Step 90 | Loss: 14.1624 | voices cached: ['katie', 'joe']
Epoch 1 | Step 100 | Loss: 12.6438 | voices cached: ['katie', 'joe']
Epoch 1 | Step 110 | Loss: 14.6012 | voices cached: ['katie', 'joe']
Epoch 1 | Step 120 | Loss: 13.9267 | voices cached: ['katie', 'joe']
Epoch 1 | Step 130 | Loss: 13.1237 | voices cached: ['katie', 'joe']
Epoch 1 | Step 140 | Loss: 13.6734 | voices cached: ['katie', 'joe']
Epoch 1 | Step 150 | Loss: 12.5025 | voices cached: ['katie', 'joe']
Epoch 1 | Step 160 | Loss: 15.4266 | voices cached: ['katie', 'joe']
Epoch 1 | Step 170 | Loss: 14.9659 | voices cached: ['katie', 'joe']
Epoch 1 | Step 180 | Loss: 14.3893 | voices cached: ['katie', 'joe']
Epoch 1 | Step 190 | Loss: 13.6912 | voices cached: ['katie', 'joe']
Epoch 1 | Step 200 | Loss: 13.8666 | voices cached: ['katie', 'joe']
Epoch 1 | Step 210 | Loss: 14.9366 | voices cached: ['katie', 'joe']
Epoch 1 | Step 220 | Loss: 13.7593 | voices cached: ['katie', 'joe']
Epoch 1 | Step 230 | Loss: 12.8106 | voices cached: ['katie', 'joe']
Epoch 1 | Step 240 | Loss: 13.8389 | voices cached: ['katie', 'joe']
Epoch 1 | Step 250 | Loss: 14.4837 | voices cached: ['katie', 'joe']
Epoch 1 | Step 260 | Loss: 14.9049 | voices cached: ['katie', 'joe']
Epoch 1 | Step 270 | Loss: 14.4800 | voices cached: ['katie', 'joe']
Epoch 1 | Step 280 | Loss: 13.7402 | voices cached: ['katie', 'joe']
Epoch 1 | Step 290 | Loss: 14.8165 | voices cached: ['katie', 'joe']
Epoch 1 | Step 300 | Loss: 13.9733 | voices cached: ['katie', 'joe']
Epoch 1 | Step 310 | Loss: 13.9000 | voices cached: ['katie', 'joe']
Epoch 1 | Step 320 | Loss: 12.8865 | voices cached: ['katie', 'joe']
Epoch 1 | Step 330 | Loss: 14.8755 | voices cached: ['katie', 'joe']
Epoch 1 | Step 340 | Loss: 13.3346 | voices cached: ['katie', 'joe']
Epoch 1 | Step 350 | Loss: 13.9091 | voices cached: ['katie', 'joe']
Epoch 1 | Step 360 | Loss: 13.8510 | voices cached: ['katie', 'joe']
Epoch 1 | Step 370 | Loss: 13.2146 | voices cached: ['katie', 'joe']
Epoch 1 | Step 380 | Loss: 14.2496 | voices cached: ['katie', 'joe']
  wrote voice 'katie' → slot 3000
  wrote voice 'joe' → slot 3001
Saved epoch 1 checkpoint → /workspace/output/checkpoint-epoch-1
